Keycode,orgunitlevel2,orgunitlevel3,dhis_organisationunitid,dhis_organisationunitname,datim_organisationunitid,datim_organisationunitname,period,"TX_RTT_N_Age_Sex_HIVStatus | <1, Male, Positive","TX_RTT_N_Age_Sex_HIVStatus | 1-4, Male, Positive","TX_RTT_N_Age_Sex_HIVStatus | 5-9, Male, Positive","TX_RTT_N_Age_Sex_HIVStatus | 10-14, Male, Positive","TX_RTT_N_Age_Sex_HIVStatus | 15-19, Male, Positive","TX_RTT_N_Age_Sex_HIVStatus | 20-24, Male, Positive","TX_RTT_N_Age_Sex_HIVStatus | 25-29, Male, Positive","TX_RTT_N_Age_Sex_HIVStatus | 30-34, Male, Positive","TX_RTT_N_Age_Sex_HIVStatus | 35-39, Male, Positive","TX_RTT_N_Age_Sex_HIVStatus | 40-44, Male, Positive","TX_RTT_N_Age_Sex_HIVStatus | 45-49, Male, Positive","TX_RTT_N_Age_Sex_HIVStatus | 50+, Male, Positive","TX_RTT_N_Age_Sex_HIVStatus | 50-54, Male, Positive","TX_RTT_N_Age_Sex_HIVStatus | 55-59, Male, Positive","TX_RTT_N_Age_Sex_HIVStatus | 60-64, Male, Positive","TX_RTT_N_Age_Sex_HIVStatus | 65+, Male, Positive","TX_RTT_N_Age_Sex_HIVStatus | Unknown Age, Male, Positive","TX_RTT_N_Age_Sex_HIVStatus | <1, Female, Positive","TX_RTT_N_Age_Sex_HIVStatus | 1-4, Female, Positive","TX_RTT_N_Age_Sex_HIVStatus | 5-9, Female, Positive","TX_RTT_N_Age_Sex_HIVStatus | 10-14, Female, Positive","TX_RTT_N_Age_Sex_HIVStatus | 15-19, Female, Positive","TX_RTT_N_Age_Sex_HIVStatus | 20-24, Female, Positive","TX_RTT_N_Age_Sex_HIVStatus | 25-29, Female, Positive","TX_RTT_N_Age_Sex_HIVStatus | 30-34, Female, Positive","TX_RTT_N_Age_Sex_HIVStatus | 35-39, Female, Positive","TX_RTT_N_Age_Sex_HIVStatus | 40-44, Female, Positive","TX_RTT_N_Age_Sex_HIVStatus | 45-49, Female, Positive","TX_RTT_N_Age_Sex_HIVStatus | 50+, Female, Positive","TX_RTT_N_Age_Sex_HIVStatus | 50-54, Female, Positive","TX_RTT_N_Age_Sex_HIVStatus | 55-59, Female, Positive","TX_RTT_N_Age_Sex_HIVStatus | 60-64, Female, Positive","TX_RTT_N_Age_Sex_HIVStatus | 65+, Female, Positive","TX_RTT_N_Age_Sex_HIVStatus | Unknown Age, Female, Positive","TX_RTT_N_ARTNoContactReasonIIT_HIVStatus | IIT(<3 Months Interruption), Positive","TX_RTT_N_ARTNoContactReasonIIT_HIVStatus | IIT(3-5 Months Interruption), Positive","TX_RTT_N_ARTNoContactReasonIIT_HIVStatus | IIT(<6+ Months Interruption), Positive","TX_RTT_N_KeyPop_HIVStatus | PWID, Positive","TX_RTT_N_KeyPop_HIVStatus | MSM, Positive","TX_RTT_N_KeyPop_HIVStatus | FSW, Positive","TX_RTT_N_KeyPop_HIVStatus | People in prisons and other enclosed settings, Positive"
201647,Tete,Cahora Bassa,IMtx8G5tq4u,HR Songo,o3nzTkLC1Pl,Songo HR,2023Q1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,0
200023,Tete,Cahora Bassa,e8wv3acHddB,CS Chitima,KCPICjUZcE4,Chitima CS,2023Q1,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,,0,0,0,0,0,0,1,5,0,0,0,0
200533,Manica,Guro,wdaQR3Yk6ji,CS Mandie,z8MwD6T43n2,Mandie CS,2023Q1,0,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,2,0,0,0,0
200552,Manica,Guro,X8TLq4JNXju,CS Guro-Sede,VsFXXXagVmp,Guro - Sede CS,2023Q1,0,0,0,0,0,0,0,1,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,,0,0,0,0,0,0,1,4,0,0,0,0
200459,Tete,Macanga,RRFBArNZQqU,CS Furancungo,yVFdJkYsLK5,Furancungo CS,2023Q1,0,1,1,0,0,1,0,2,2,0,1,,2,0,0,0,0,0,1,0,0,1,2,7,6,1,2,1,,1,0,0,0,0,26,6,0,0,0,0,0
200452,Tete,Chiuta,cngCCowWdet,CS Manje,hWWRAoV26mI,Manje CS,2023Q1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
200532,Manica,Vanduzi,goKXBs7N5B8,CS IAC,yIcfnuZhejK,IAC CS,2023Q1,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,,0,0,0,0,0,3,1,0,0,0,0,0
200523,Manica,Vanduzi,dVMKbEosMwp,CS Matsinho,eSZjKIwHPYi,Matsinho CS,2023Q1,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,,0,0,0,0,0,1,0,6,0,0,0,0
200564,Manica,Vanduzi,vtKfiT3Z1Co,CS Pungue Sul,IRD5QXalHtJ,Pungue Sul CS,2023Q1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
200565,Manica,Vanduzi,KImmzT8DzJ7,CS Vand̼zi,srTptJGYtcK,Vanduzi CS,2023Q1,0,0,0,0,1,0,0,1,1,1,0,,0,2,0,0,0,0,0,0,0,1,0,1,5,1,0,0,,0,0,0,0,0,0,5,9,0,0,1,0
200542,Manica,Vanduzi,RZSIFguHtRn,CS Chigodore,admxsO3fTtq,Chigodole CS,2023Q1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
200503,Manica,Macate,JCaOI2EWde3,CS Zembe Centro,p9u7nMWHEgF,Zembe Centro CS,2023Q1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,0
200560,Manica,Macate,mNfnkeXdKxY,CS Macate,pEAFBcOJIVF,Macate CS,2023Q1,0,0,0,0,0,0,0,1,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,,0,0,0,0,0,0,0,5,0,0,0,0
200501,Manica,Macate,tkLybDtDdo0,CS Marera,t3snPDHuVBW,Marera CS,2023Q1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0
201028,Tete,Magoe,NE3tEHxUcic,CS Daque,lUDMkJxSxHL,Daque CS,2023Q1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0
200483,Tete,Magoe,CAszGuhyUnC,CS Mucumbura,oJNbeCd6bvb,Mucumbura CS,2023Q1,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,0,0,0,0,0,0,1,1,0,0,0,0
200469,Tete,Magoe,zo9yOvNADO0,CS Magoe,Uih0KGtvZeo,Magoe CS,2023Q1,0,0,0,0,0,0,0,0,1,2,0,,0,0,1,0,0,0,0,0,0,0,0,1,1,2,0,0,,0,0,0,0,0,2,1,5,0,0,0,0
200535,Manica,Machaze,Sqry0ikIChZ,CS Bassane,aUMEQzUKI0K,Bassane CS,2023Q1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,1,0,0,0,0,0,1,1,0,0,0,0
200538,Manica,Machaze,MdN1RqeBzCP,CS Chipodji,dZrjKdqCi1w,Chipudji CS,2023Q1,0,0,0,0,1,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,,0,0,0,0,0,2,2,3,0,0,0,0
200536,Manica,Machaze,e3XMm8h8pJ3,CS Chitobe,FmAQ159jI3w,Chitobe CS,2023Q1,0,0,0,1,0,0,0,2,0,1,2,,0,1,0,1,0,0,1,3,0,0,6,2,6,3,3,1,,1,0,0,0,0,10,6,18,0,0,1,0
200539,Manica,Machaze,oi1t1JPUViW,CS Mavende,z8UkGdr2xNs,Mavende CS,2023Q1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
200557,Manica,Machaze,HZVnPphSXDJ,CS Save,ZifoCg4OvIj,Save CS,2023Q1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,1,0,0,0,0
200556,Manica,Machaze,MfZ8vUFX3fM,CS Mazwissanga,c6yCKEAemfr,Mazwissanga CS,2023Q1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
