Keycode,period,"echo_TX_NEW_N_Preg_Feeding | Breastfeeding, Positive","echo_TX_NEW_N_Age_Sex_HIVStatus | <1, Male, Positive","echo_TX_NEW_N_Age_Sex_HIVStatus | 1-4, Male, Positive","echo_TX_NEW_N_Age_Sex_HIVStatus | 5-9, Male, Positive","echo_TX_NEW_N_Age_Sex_HIVStatus | 10-14, Male, Positive","echo_TX_NEW_N_Age_Sex_HIVStatus | 15-19, Male, Positive","echo_TX_NEW_N_Age_Sex_HIVStatus | 20-24, Male, Positive","echo_TX_NEW_N_Age_Sex_HIVStatus | 25-29, Male, Positive","echo_TX_NEW_N_Age_Sex_HIVStatus | 30-34, Male, Positive","echo_TX_NEW_N_Age_Sex_HIVStatus | 35-39, Male, Positive","echo_TX_NEW_N_Age_Sex_HIVStatus | 40-44, Male, Positive","echo_TX_NEW_N_Age_Sex_HIVStatus | 45-49, Male, Positive","echo_TX_NEW_N_Age_Sex_HIVStatus | 50+, Male, Positive","echo_TX_NEW_N_Age_Sex_HIVStatus | Unknown Age, Male, Positive","echo_TX_NEW_N_Age_Sex_HIVStatus | <1, Female, Positive","echo_TX_NEW_N_Age_Sex_HIVStatus | 1-4, Female, Positive","echo_TX_NEW_N_Age_Sex_HIVStatus | 5-9, Female, Positive","echo_TX_NEW_N_Age_Sex_HIVStatus | 10-14, Female, Positive","echo_TX_NEW_N_Age_Sex_HIVStatus | 15-19, Female, Positive","echo_TX_NEW_N_Age_Sex_HIVStatus | 20-24, Female, Positive","echo_TX_NEW_N_Age_Sex_HIVStatus | 25-29, Female, Positive","echo_TX_NEW_N_Age_Sex_HIVStatus | 30-34, Female, Positive","echo_TX_NEW_N_Age_Sex_HIVStatus | 35-39, Female, Positive","echo_TX_NEW_N_Age_Sex_HIVStatus | 40-44, Female, Positive","echo_TX_NEW_N_Age_Sex_HIVStatus | 45-49, Female, Positive","echo_TX_NEW_N_Age_Sex_HIVStatus | 50+, Female, Positive","echo_TX_NEW_N_Age_Sex_HIVStatus | Unknown Age, Female, Positive","echo_TX_NEW_N_KeyPop_HIVStatus | FSW, Positive","echo_TX_NEW_N_KeyPop_HIVStatus | MSM, Positive","echo_TX_NEW_N_KeyPop_HIVStatus | PWID, Positive","echo_TX_NEW_N_KeyPop_HIVStatus | People in prisons and other enclosed settings, Positive",TX_NEW_N_2MONTHS_All Patients,TX_NEW_N_2MONTHS_Pregnant Women,TX_NEW_N_2MONTHS_Breastfeeding,TX_NEW_N_2MONTHS_Children (0-14 Yrs),TX_NEW_N_2MONTHS_Non-Pregnant Adults
200152,2022Q1,3,1,1,0,0,0,2,9,15,7,2,0,5,0,1,3,1,0,3,14,18,18,11,5,2,2,0,2,0,0,0,112,15,2,13,82
200612,2022Q1,1,0,0,0,0,0,3,3,5,5,4,2,1,0,0,0,0,0,3,9,21,6,14,5,1,5,0,0,0,0,0,43,11,1,0,31
200548,2022Q1,9,1,0,0,0,0,1,2,2,1,1,0,2,0,0,2,0,1,3,6,5,11,2,1,0,2,0,1,0,0,0,28,3,7,4,14
200192,2022Q1,9,4,3,1,0,0,5,8,13,8,10,3,5,0,1,0,0,2,8,36,19,18,6,2,1,4,0,7,0,0,5,133,32,8,6,87
200566,2022Q1,0,0,0,0,0,0,0,3,2,1,2,1,2,0,0,1,0,0,1,4,3,3,3,0,1,1,0,0,0,0,0,16,1,0,0,15
201028,2022Q1,1,0,0,0,1,1,1,4,5,6,3,1,3,0,0,2,0,0,1,4,5,7,6,2,1,0,0,1,0,0,0,32,7,0,3,22
338290,2022Q1,3,0,0,0,0,0,0,0,2,3,3,0,1,0,0,1,0,0,2,4,10,4,3,1,1,4,0,0,0,0,0,0,0,0,0,0
200559,2022Q1,2,0,1,0,0,0,0,6,6,10,6,1,4,0,0,1,0,0,12,10,13,9,5,4,2,5,0,0,0,0,0,65,6,1,1,57
200454,2022Q1,2,0,1,0,0,1,0,1,4,2,2,1,3,0,0,1,0,0,1,9,9,9,2,4,3,1,0,3,0,0,0,32,4,1,1,26
200618,2022Q1,2,3,7,0,3,1,10,20,31,18,10,8,8,0,3,4,2,2,12,38,46,25,13,6,2,6,0,8,0,0,0,158,27,1,10,120
201110,2022Q1,0,0,0,0,1,0,1,2,2,1,3,1,0,0,0,0,0,1,3,4,4,4,1,0,0,0,0,2,0,0,0,20,1,0,2,17
200525,2022Q1,2,3,2,3,0,3,13,27,28,35,26,7,6,0,0,2,2,0,10,40,59,50,27,13,7,12,0,19,12,0,0,220,32,3,5,180
200165,2022Q1,1,0,2,0,9,1,2,7,4,3,2,1,1,0,0,1,4,8,4,4,9,2,7,2,3,1,0,0,0,0,0,76,14,1,24,38
200459,2022Q1,1,0,0,0,0,0,5,3,9,4,2,5,3,0,0,0,0,0,0,7,5,5,4,1,4,1,0,1,0,0,0,33,2,1,0,30
201645,2022Q1,3,1,0,0,0,0,1,1,3,2,0,2,2,0,0,0,0,0,2,3,4,4,0,2,3,3,0,3,0,0,0,14,1,2,1,10
